,ID,Question,Response,value
1,4217,Q13,Agree,1
2,4421,Q13,Agree,1
3,4227,Q13,Agree,1
4,4217,Q9,Agree,1
5,4216,Q9,Agree,1
6,4233,Q9,Agree,1
7,4420,Q9,Agree,1
8,4234,Q9,Agree,1
9,4219,Q9,Agree,1
10,4227,Q9,Agree,1
11,4255,Q9,Agree,1
12,4261,Q9,Agree,1
13,4246,Q9,Agree,1
14,4264F,Q9,Agree,1
15,4259,Q9,Agree,1
16,4242,Q9,Agree,1
17,4276,Q9,Agree,1
18,4292F,Q9,Agree,1
19,4275,Q9,Agree,1
20,4273,Q9,Agree,1
21,4289,Q9,Agree,1
22,4277,Q9,Agree,1
23,4285,Q9,Agree,1
24,4271,Q9,Agree,1
25,4258,Q9,Agree,1
26,4240,Q9,Agree,1
27,4269,Q9,Agree,1
28,4248,Q9,Agree,1
29,4290,Q9,Agree,1
30,4283,Q9,Agree,1
31,4288,Q9,Agree,1
32,4312,Q9,Agree,1
33,4313,Q9,Agree,1
34,4318,Q9,Agree,1
35,4308,Q9,Agree,1
36,4036,Q9,Agree,1
37,4307,Q9,Agree,1
38,4301,Q9,Agree,1
39,4309,Q9,Agree,1
40,4278,Q9,Agree,1
41,4291,Q9,Agree,1
42,4443,Q9,Agree,1
43,4330,Q9,Agree,1
44,4337,Q9,Agree,1
45,4324,Q9,Agree,1
46,4348,Q9,Agree,1
47,4332,Q9,Agree,1
48,4346,Q9,Agree,1
49,4347,Q9,Agree,1
50,4367,Q9,Agree,1
51,4357,Q9,Agree,1
52,4373,Q9,Agree,1
53,4359,Q9,Agree,1
54,4363,Q9,Agree,1
55,4366,Q9,Agree,1
56,4356,Q9,Agree,1
57,4364,Q9,Agree,1
58,4355,Q9,Agree,1
59,4325,Q9,Agree,1
60,4342,Q9,Agree,1
61,4390,Q9,Agree,1
62,4385,Q9,Agree,1
63,4380,Q9,Agree,1
64,4383,Q9,Agree,1
65,4379,Q9,Agree,1
66,4404,Q9,Agree,1
67,4410,Q9,Agree,1
68,4411,Q9,Agree,1
69,4406,Q9,Agree,1
70,4396,Q9,Agree,1
71,4413,Q9,Agree,1
72,4429,Q9,Agree,1
73,4428,Q9,Agree,1
74,4433,Q9,Agree,1
75,4283F,Q9,Agree,1
76,4436,Q9,Agree,1
77,4441,Q9,Agree,1
78,4434,Q9,Agree,1
79,4440,Q9,Agree,1
80,4435,Q9,Agree,1
81,4448,Q9,Agree,1
82,4455,Q9,Agree,1
83,4459,Q9,Agree,1
84,4457,Q9,Agree,1
85,4456,Q9,Agree,1
86,4454,Q9,Agree,1
87,4458,Q9,Agree,1
88,4460,Q9,Agree,1
89,4452,Q9,Agree,1
90,4467,Q9,Agree,1
91,4479,Q9,Agree,1
92,4524,Q9,Agree,1
93,4510,Q9,Agree,1
94,4520,Q9,Agree,1
95,4498,Q9,Agree,1
96,4500,Q9,Agree,1
97,4484,Q9,Agree,1
98,4494,Q9,Agree,1
99,4517,Q9,Agree,1
100,4488,Q9,Agree,1
101,4478,Q9,Agree,1
102,4505,Q9,Agree,1
103,4344,Q9,Agree,1
104,4279,Q9,Agree,1
105,4341,Q9,Agree,1
106,4279,Q9,Agree,1
107,4245,Q9,Agree,1
108,4335,Q9,Agree,1
109,4334,Q9,Agree,1
110,4463,Q9,Agree,1
111,4562,Q9,Agree,1
112,4563,Q9,Agree,1
113,4564,Q9,Agree,1
114,4537,Q9,Agree,1
115,4573,Q9,Agree,1
116,4553,Q9,Agree,1
117,4540,Q9,Agree,1
118,4543,Q9,Agree,1
119,4527,Q9,Agree,1
120,4548,Q9,Agree,1
121,4531,Q9,Agree,1
122,4545,Q9,Agree,1
123,4480,Q9,Agree,1
124,4358,Q9,Agree,1
125,4381,Q9,Agree,1
126,4317,Q9,Agree,1
127,4314,Q9,Agree,1
128,4281,Q9,Agree,1
129,4329,Q9,Agree,1
130,4375,Q9,Agree,1
131,4648,Q9,Agree,1
132,4632,Q9,Agree,1
133,4639,Q9,Agree,1
134,4659,Q9,Agree,1
135,4665,Q9,Agree,1
136,4657,Q9,Agree,1
137,4660,Q9,Agree,1
138,4678,Q9,Agree,1
139,4676,Q9,Agree,1
140,4666,Q9,Agree,1
141,4646,Q9,Agree,1
142,4589,Q9,Agree,1
143,4586,Q9,Agree,1
144,4581F,Q9,Agree,1
145,4601,Q9,Agree,1
146,4600,Q9,Agree,1
147,4599,Q9,Agree,1
148,4578,Q9,Agree,1
149,4588,Q9,Agree,1
150,4583,Q9,Agree,1
151,4585,Q9,Agree,1
152,4595,Q9,Agree,1
153,4619,Q9,Agree,1
154,4579,Q9,Agree,1
155,4592,Q9,Agree,1
156,4663,Q9,Agree,1
157,4652,Q9,Agree,1
158,4667,Q9,Agree,1
159,4395,Q9,Agree,1
160,4508,Q9,Agree,1
161,4539,Q9,Agree,1
162,4506,Q9,Agree,1
163,4668,Q9,Agree,1
164,4684,Q9,Agree,1
165,4637,Q9,Agree,1
166,4698,Q9,Agree,1
167,4703,Q9,Agree,1
168,4712,Q9,Agree,1
169,4691,Q9,Agree,1
170,4693,Q9,Agree,1
171,4736,Q9,Agree,1
172,4714,Q9,Agree,1
173,4730,Q9,Agree,1
174,4731,Q9,Agree,1
175,4729,Q9,Agree,1
176,4722,Q9,Agree,1
177,4753B,Q9,Agree,1
178,4746B,Q9,Agree,1
179,4763B,Q9,Agree,1
180,4766,Q9,Agree,1
181,4768,Q9,Agree,1
182,4762,Q9,Agree,1
