"","ID","Question","Response","PostValue"
"1","2919","Q08","mass X volume",0
"2","4022","Q08","mass X volume",0
"3","4219","Q08","mass/volume",1
"4","4224","Q08","mass/volume",1
"5","4229","Q08","mass/volume",1
"6","4230","Q08","mass/volume",1
"7","4232","Q08","mass/volume",1
"8","4235","Q08","mass/volume",1
"9","4236","Q08","volume/mass",0
"10","4240","Q08","mass/volume",1
"11","4241","Q08","mass/volume",1
"12","4242","Q08","volume/mass",0
"13","4243","Q08","mass/volume",1
"14","4244","Q08","mass/volume",1
"15","4245","Q08","mass/volume",1
"16","4246","Q08","mass/volume",1
"17","4247","Q08","mass/volume",1
"18","4248","Q08","mass/volume",1
"19","4249","Q08","mass/volume",1
"20","4250","Q08","mass/volume",1
"21","4251","Q08","mass/volume",1
"22","4254","Q08","mass/volume",1
"23","4257","Q08","mass/volume",1
"24","4258","Q08","mass/volume",1
"25","4259","Q08","mass/volume",1
"26","4260","Q08","mass/volume",1
"27","4261","Q08","mass/volume",1
"28","4262","Q08","mass X volume",0
"29","4264","Q08","mass/volume",1
"30","4267","Q08","mass/volume",1
"31","4268","Q08","mass/volume",1
"32","4269","Q08","mass/volume",1
"33","4271","Q08","mass/volume",1
"34","4272","Q08","mass/volume",1
"35","4273","Q08","mass/volume",1
"36","4274","Q08","mass/volume",1
"37","4275","Q08","mass/volume",1
"38","4276","Q08","mass/volume",1
"39","4277","Q08","mass/volume",1
"40","4278","Q08","mass/volume",1
"41","4279","Q08","mass/volume",1
"42","4281","Q08","mass/volume",1
"43","4282","Q08","mass/volume",1
"44","4283","Q08","mass/volume",1
"45","4284","Q08","mass/volume",1
"46","4285","Q08","mass/volume",1
"47","4286","Q08","mass/volume",1
"48","4287","Q08","volume/mass",0
"49","4288","Q08","mass/volume",1
"50","4289","Q08","mass/volume",1
"51","4290","Q08","mass/volume",1
"52","4291","Q08","mass/volume",1
"53","4293","Q08","volume/mass",0
"54","4294","Q08","mass/volume",1
"55","4295","Q08","mass/volume",1
"56","4297","Q08","mass/volume",1
"57","4299","Q08","mass/volume",1
"58","4300","Q08","mass/volume",1
"59","4301","Q08","mass/volume",1
"60","4302","Q08","volume/mass",0
"61","4304","Q08","mass/volume",1
"62","4305","Q08","mass/volume",1
"63","4306","Q08","volume/mass",0
"64","4309","Q08","mass/volume",1
"65","4310","Q08","mass/volume",1
"66","4313","Q08","mass/volume",1
"67","4314","Q08","mass/volume",1
"68","4315","Q08","mass/volume",1
"69","4316","Q08","mass/volume",1
"70","4318","Q08","mass/volume",1
"71","4319","Q08","mass/volume",1
"72","4321","Q08","mass X volume",0
"73","4322","Q08","mass/volume",1
"74","4323","Q08","mass/volume",1
"75","4324","Q08","mass/volume",1
"76","4326","Q08","mass/volume",1
"77","4327","Q08","mass/volume",1
"78","4328","Q08","mass/volume",1
"79","4333","Q08","mass/volume",1
"80","4334","Q08","volume/mass",0
"81","4335","Q08","mass/volume",1
"82","4339","Q08","mass/volume",1
"83","4341","Q08","mass/volume",1
"84","4342","Q08","mass/volume",1
"85","4343","Q08","mass/volume",1
"86","4344","Q08","mass/volume",1
"87","4347","Q08","mass/volume",1
"88","4348","Q08","mass/volume",1
"89","4350","Q08","mass/volume",1
"90","4352","Q08","mass/volume",1
"91","4353","Q08","mass/volume",1
"92","4355","Q08","mass/volume",1
"93","4356","Q08","mass/volume",1
"94","4357","Q08","mass/volume",1
"95","4359","Q08","mass/volume",1
"96","4360","Q08","mass/volume",1
"97","4362","Q08","mass/volume",1
"98","4363","Q08","mass/volume",1
"99","4364","Q08","mass/volume",1
"100","4367","Q08","mass/volume",1
"101","4368","Q08","mass/volume",1
"102","4371","Q08","volume/mass",0
"103","4372","Q08","volume/mass",0
"104","4373","Q08","mass/volume",1
"105","4374","Q08","mass/volume",1
"106","4376","Q08","mass/volume",1
"107","4377","Q08","mass/volume",1
"108","4378","Q08","mass/volume",1
"109","4379","Q08","mass/volume",1
"110","4380","Q08","mass/volume",1
"111","4382","Q08","mass/volume",1
"112","4383","Q08","mass/volume",1
"113","4384","Q08","mass/volume",1
"114","4390","Q08","mass/volume",1
"115","4391","Q08","mass/volume",1
"116","4394","Q08","mass/volume",1
"117","4396","Q08","mass/volume",1
"118","4397","Q08","mass/volume",1
"119","4400","Q08","mass/volume",1
"120","4404","Q08","mass/volume",1
"121","4406","Q08","mass/volume",1
"122","4407","Q08","mass/volume",1
"123","4408","Q08","mass/volume",1
"124","4410","Q08","mass/volume",1
"125","4411","Q08","mass/volume",1
"126","4413","Q08","mass/volume",1
"127","4415","Q08","mass/volume",1
"128","4417","Q08","mass/volume",1
"129","4418","Q08","volume/mass",0
"130","4419","Q08","mass/volume",1
"131","4421","Q08","mass/volume",1
"132","4422","Q08","mass/volume",1
"133","4423","Q08","mass/volume",1
"134","4426","Q08","mass/volume",1
"135","4428","Q08","mass/volume",1
"136","4429","Q08","mass/volume",1
"137","4430","Q08","mass/volume",1
"138","4431","Q08","mass/volume",1
"139","4432","Q08","mass/volume",1
"140","4433","Q08","mass/volume",1
"141","4435","Q08","mass/volume",1
"142","4436","Q08","mass/volume",1
"143","4437","Q08","mass/volume",1
"144","4440","Q08","mass/volume",1
"145","4447","Q08","mass/volume",1
"146","4448","Q08","mass/volume",1
"147","4449","Q08","mass/volume",1
"148","4450","Q08","mass/volume",1
"149","4451","Q08","mass/volume",1
"150","4452","Q08","mass/volume",1
"151","4453","Q08","mass X volume",0
"152","4454","Q08","mass/volume",1
"153","4455","Q08","mass/volume",1
"154","4456","Q08","mass/volume",1
"155","4457","Q08","mass/volume",1
"156","4458","Q08","mass/volume",1
"157","4459","Q08","mass/volume",1
"158","4460","Q08","mass/volume",1
"159","4461","Q08","mass/volume",1
"160","4465","Q08","mass/volume",1
"161","4466","Q08","mass/volume",1
"162","4467","Q08","mass/volume",1
"163","4475","Q08","volume/mass",0
"164","4476","Q08","mass/volume",1
"165","4478","Q08","mass/volume",1
"166","4479","Q08","mass/volume",1
"167","4482","Q08","volume/mass",0
"168","4485","Q08","mass/volume",1
"169","4488","Q08","mass/volume",1
"170","4490","Q08","mass/volume",1
"171","4491","Q08","mass/volume",1
"172","4492","Q08","mass/volume",1
"173","4494","Q08","mass/volume",1
"174","4495","Q08","mass/volume",1
"175","4498","Q08","mass/volume",1
"176","4499","Q08","mass/volume",1
"177","4500","Q08","mass/volume",1
"178","4501","Q08","mass X volume",0
"179","4502","Q08","mass/volume",1
"180","4503","Q08","mass/volume",1
"181","4504","Q08","mass/volume",1
"182","4505","Q08","mass X volume",0
"183","4507","Q08","mass/volume",1
"184","4509","Q08","mass/volume",1
"185","4513","Q08","mass X volume",0
"186","4514","Q08","mass X volume",0
"187","4515","Q08","mass/volume",1
"188","4517","Q08","mass/volume",1
"189","4518","Q08","mass/volume",1
"190","4519","Q08","mass/volume",1
"191","4524","Q08","mass/volume",1
"192","4528","Q08","mass/volume",1
"193","4531","Q08","mass/volume",1
"194","4533","Q08","mass/volume",1
"195","4535","Q08","mass/volume",1
"196","4536","Q08","mass/volume",1
"197","4537","Q08","mass/volume",1
"198","4538","Q08","volume/mass",0
"199","4540","Q08","mass/volume",1
"200","4543","Q08","mass/volume",1
"201","4545","Q08","mass/volume",1
"202","4546","Q08","mass/volume",1
"203","4549","Q08","mass/volume",1
"204","4550","Q08","mass/volume",1
"205","4551","Q08","volume/mass",0
"206","4558","Q08","mass/volume",1
"207","4559","Q08","mass/volume",1
"208","4562","Q08","mass X volume",0
"209","4564","Q08","mass/volume",1
"210","4566","Q08","mass/volume",1
"211","4568","Q08","mass/volume",1
"212","4571","Q08","mass X volume",0
"213","4574","Q08","mass/volume",1
"214","4578","Q08","mass X volume",0
"215","4584","Q08","volume/mass",0
"216","4585","Q08","mass X volume",0
"217","4586","Q08","mass/volume",1
"218","4589","Q08","mass/volume",1
"219","4592","Q08","mass/volume",1
"220","4596","Q08","mass/volume",1
"221","4597","Q08","mass/volume",1
"222","4598","Q08","mass/volume",1
"223","4599","Q08","mass/volume",1
"224","4602","Q08","mass/volume",1
"225","4606","Q08","mass/volume",1
"226","4607","Q08","mass/volume",1
"227","4608","Q08","mass/volume",1
"228","4609","Q08","mass/volume",1
"229","4610","Q08","volume/mass",0
"230","4615","Q08","volume/mass",0
"231","4616","Q08","mass/volume",1
"232","4617","Q08","mass/volume",1
"233","4619","Q08","volume/mass",0
"234","4621","Q08","volume/mass",0
"235","4626","Q08","mass/volume",1
"236","4627","Q08","mass/volume",1
"237","4656","Q08","mass/volume",1
"238","4668","Q08","mass/volume",1
"239","4686","Q08","mass/volume",1
"240","4693","Q08","mass/volume",1
"241","4697","Q08","volume/mass",0
"242","4702","Q08","mass/volume",1
"243","4704","Q08","mass/volume",1
"244","4708","Q08","mass/volume",1
"245","4710","Q08","mass/volume",1
"246","4712","Q08","mass/volume",1
"247","4716","Q08","mass/volume",1
"248","4717","Q08","mass/volume",1
"249","4720","Q08","mass/volume",1
"250","4722","Q08","mass/volume",1
"251","4723","Q08","mass/volume",1
"252","4725","Q08","mass/volume",1
"253","4727","Q08","mass/volume",1
"254","4730","Q08","mass/volume",1
"255","4734","Q08","mass/volume",1
"256","4737","Q08","mass/volume",1
"257","4739","Q08","mass/volume",1
