"","ID","Question","Response.x","PreValue","Response.y","PostValue"
"1","4232","Q08","mass/volume",1,"mass/volume",1
"2","4230","Q08","volume/mass",0,"mass/volume",1
"3","4219","Q08","mass/volume",1,"mass/volume",1
"4","4229","Q08","mass/volume",1,"mass/volume",1
"5","4236","Q08","mass X volume",0,"volume/mass",0
"6","4254","Q08","mass/volume",1,"mass/volume",1
"7","4267","Q08","mass/volume",1,"mass/volume",1
"8","4261","Q08","mass/volume",1,"mass/volume",1
"9","4246","Q08","mass/volume",1,"mass/volume",1
"10","4251","Q08","mass X volume",0,"mass/volume",1
"11","4241","Q08","mass/volume",1,"mass/volume",1
"12","4247","Q08","mass/volume",1,"mass/volume",1
"13","4244","Q08","mass/volume",1,"mass/volume",1
"14","4257","Q08","mass X volume",0,"mass/volume",1
"15","4259","Q08","volume/mass",0,"mass/volume",1
"16","4242","Q08","mass/volume",1,"volume/mass",0
"17","4276","Q08","mass/volume",1,"mass/volume",1
"18","4272","Q08","mass/volume",1,"mass/volume",1
"19","4284","Q08","mass/volume",1,"mass/volume",1
"20","4294F","Q08","mass/volume",1,"mass/volume",1
"21","4287","Q08","mass/volume",1,"volume/mass",0
"22","4275","Q08","mass/volume",1,"mass/volume",1
"23","4273","Q08","mass/volume",1,"mass/volume",1
"24","4289","Q08","mass/volume",1,"mass/volume",1
"25","4277","Q08","mass/volume",1,"mass/volume",1
"26","4286","Q08","mass X volume",0,"mass/volume",1
"27","4285","Q08","mass/volume",1,"mass/volume",1
"28","4293F","Q08","mass/volume",1,"mass/volume",1
"29","4243","Q08","mass/volume",1,"mass/volume",1
"30","4271","Q08","mass/volume",1,"mass/volume",1
"31","4264","Q08","mass/volume",1,"mass/volume",1
"32","4268","Q08","mass/volume",1,"mass/volume",1
"33","4258","Q08","mass/volume",1,"mass/volume",1
"34","4249","Q08","mass/volume",1,"mass/volume",1
"35","4240","Q08","mass/volume",1,"mass/volume",1
"36","4260","Q08","mass/volume",1,"mass/volume",1
"37","4269","Q08","mass/volume",1,"mass/volume",1
"38","4248","Q08","mass/volume",1,"mass/volume",1
"39","4290","Q08","mass/volume",1,"mass/volume",1
"40","4283","Q08","mass/volume",1,"mass/volume",1
"41","4288","Q08","mass/volume",1,"mass/volume",1
"42","4321","Q08","mass/volume",1,"mass X volume",0
"43","4300","Q08","mass X volume",0,"mass/volume",1
"44","4304","Q08","volume/mass",0,"mass/volume",1
"45","4322","Q08","mass/volume",1,"mass/volume",1
"46","4313","Q08","mass/volume",1,"mass/volume",1
"47","4315","Q08","mass/volume",1,"mass/volume",1
"48","4319","Q08","mass/volume",1,"mass/volume",1
"49","4318","Q08","mass X volume",0,"mass/volume",1
"50","4301","Q08","mass/volume",1,"mass/volume",1
"51","4294","Q08","mass/volume",1,"mass/volume",1
"52","4309","Q08","mass/volume",1,"mass/volume",1
"53","4302","Q08","mass X volume",0,"volume/mass",0
"54","4278","Q08","volume/mass",0,"mass/volume",1
"55","4291","Q08","volume/mass",0,"mass/volume",1
"56","4293","Q08","mass/volume",1,"volume/mass",0
"57","4327","Q08","mass/volume",1,"mass/volume",1
"58","4343","Q08","mass/volume",1,"mass/volume",1
"59","4328","Q08","mass/volume",1,"mass/volume",1
"60","4324","Q08","mass/volume",1,"mass/volume",1
"61","4348","Q08","mass/volume",1,"mass/volume",1
"62","4347","Q08","mass/volume",1,"mass/volume",1
"63","4339","Q08","mass/volume",1,"mass/volume",1
"64","4353","Q08","mass/volume",1,"mass/volume",1
"65","4367","Q08","mass/volume",1,"mass/volume",1
"66","4357","Q08","mass/volume",1,"mass/volume",1
"67","4373","Q08","mass/volume",1,"mass/volume",1
"68","4359","Q08","mass/volume",1,"mass/volume",1
"69","4352","Q08","mass/volume",1,"mass/volume",1
"70","4362","Q08","mass/volume",1,"mass/volume",1
"71","4363","Q08","mass/volume",1,"mass/volume",1
"72","4356","Q08","mass/volume",1,"mass/volume",1
"73","4364","Q08","mass/volume",1,"mass/volume",1
"74","4355","Q08","mass/volume",1,"mass/volume",1
"75","4342","Q08","mass/volume",1,"mass/volume",1
"76","4391","Q08","mass/volume",1,"mass/volume",1
"77","4390","Q08","volume/mass",0,"mass/volume",1
"78","4384","Q08","mass/volume",1,"mass/volume",1
"79","4380","Q08","mass/volume",1,"mass/volume",1
"80","4394","Q08","mass/volume",1,"mass/volume",1
"81","4383","Q08","mass/volume",1,"mass/volume",1
"82","4382","Q08","mass/volume",1,"mass/volume",1
"83","4379","Q08","mass/volume",1,"mass/volume",1
"84","4376","Q08","mass/volume",1,"mass/volume",1
"85","4404","Q08","volume/mass",0,"mass/volume",1
"86","4410","Q08","mass/volume",1,"mass/volume",1
"87","4411","Q08","mass X volume",0,"mass/volume",1
"88","4406","Q08","mass/volume",1,"mass/volume",1
"89","4400","Q08","mass/volume",1,"mass/volume",1
"90","4396","Q08","mass/volume",1,"mass/volume",1
"91","4407","Q08","mass/volume",1,"mass/volume",1
"92","4413","Q08","volume/mass",0,"mass/volume",1
"93","4397","Q08","mass/volume",1,"mass/volume",1
"94","4429","Q08","mass/volume",1,"mass/volume",1
"95","4428","Q08","mass/volume",1,"mass/volume",1
"96","4433","Q08","mass/volume",1,"mass/volume",1
"97","4423","Q08","volume/mass",0,"mass/volume",1
"98","4436","Q08","mass/volume",1,"mass/volume",1
"99","4430","Q08","mass/volume",1,"mass/volume",1
"100","4431","Q08","mass/volume",1,"mass/volume",1
"101","4437","Q08","mass/volume",1,"mass/volume",1
"102","4426","Q08","mass/volume",1,"mass/volume",1
"103","4440","Q08","mass/volume",1,"mass/volume",1
"104","4432","Q08","mass/volume",1,"mass/volume",1
"105","4449","Q08","mass/volume",1,"mass/volume",1
"106","4435","Q08","volume/mass",0,"mass/volume",1
"107","4448","Q08","mass X volume",0,"mass/volume",1
"108","4455","Q08","mass/volume",1,"mass/volume",1
"109","4451","Q08","mass/volume",1,"mass/volume",1
"110","4447","Q08","mass/volume",1,"mass/volume",1
"111","4459","Q08","mass/volume",1,"mass/volume",1
"112","4457","Q08","mass/volume",1,"mass/volume",1
"113","4456","Q08","mass/volume",1,"mass/volume",1
"114","4454","Q08","mass/volume",1,"mass/volume",1
"115","4458","Q08","mass/volume",1,"mass/volume",1
"116","4460","Q08","mass/volume",1,"mass/volume",1
"117","4450","Q08","mass/volume",1,"mass/volume",1
"118","4453","Q08","mass X volume",0,"mass X volume",0
"119","4452","Q08","mass X volume",0,"mass/volume",1
"120","4408","Q08","mass/volume",1,"mass/volume",1
"121","4490","Q08","mass X volume",0,"mass/volume",1
"122","4465","Q08","mass X volume",0,"mass/volume",1
"123","4467","Q08","mass/volume",1,"mass/volume",1
"124","4507","Q08","mass/volume",1,"mass/volume",1
"125","4518","Q08","mass/volume",1,"mass/volume",1
"126","4503","Q08","mass/volume",1,"mass/volume",1
"127","4479","Q08","mass/volume",1,"mass/volume",1
"128","4524","Q08","mass X volume",0,"mass/volume",1
"129","4485","Q08","mass/volume",1,"mass/volume",1
"130","4476","Q08","mass/volume",1,"mass/volume",1
"131","4482","Q08","mass/volume",1,"volume/mass",0
"132","4498","Q08","mass/volume",1,"mass/volume",1
"133","4500","Q08","mass/volume",1,"mass/volume",1
"134","4513","Q08","volume/mass",0,"mass X volume",0
"135","4492","Q08","mass/volume",1,"mass/volume",1
"136","4461","Q08","mass/volume",1,"mass/volume",1
"137","4494","Q08","mass/volume",1,"mass/volume",1
"138","4514","Q08","mass/volume",1,"mass X volume",0
"139","4517","Q08","mass/volume",1,"mass/volume",1
"140","4515","Q08","mass/volume",1,"mass/volume",1
"141","4488","Q08","volume/mass",0,"mass/volume",1
"142","4478","Q08","volume/mass",0,"mass/volume",1
"143","4502","Q08","mass/volume",1,"mass/volume",1
"144","4509","Q08","volume/mass",0,"mass/volume",1
"145","4501","Q08","mass X volume",0,"mass X volume",0
"146","4499","Q08","mass/volume",1,"mass/volume",1
"147","4505","Q08","mass X volume",0,"mass X volume",0
"148","4495","Q08","mass/volume",1,"mass/volume",1
"149","4344","Q08","mass/volume",1,"mass/volume",1
"150","4279","Q08","mass/volume",1,"mass/volume",1
"151","4341","Q08","mass/volume",1,"mass/volume",1
"152","4279","Q08","mass/volume",1,"mass/volume",1
"153","4281","Q08","mass/volume",1,"mass/volume",1
"154","4245","Q08","mass/volume",1,"mass/volume",1
"155","4335","Q08","mass/volume",1,"mass/volume",1
"156","4326","Q08","mass/volume",1,"mass/volume",1
"157","4334","Q08","volume/mass",0,"volume/mass",0
"158","4360","Q08","mass/volume",1,"mass/volume",1
"159","4350","Q08","volume/mass",0,"mass/volume",1
"160","4562","Q08","mass/volume",1,"mass X volume",0
"161","4564","Q08","mass/volume",1,"mass/volume",1
"162","4537","Q08","mass/volume",1,"mass/volume",1
"163","4558","Q08","mass X volume",0,"mass/volume",1
"164","4550","Q08","mass/volume",1,"mass/volume",1
"165","4536","Q08","mass/volume",1,"mass/volume",1
"166","4571","Q08","mass/volume",1,"mass X volume",0
"167","4571","Q08","mass X volume",0,"mass X volume",0
"168","4566","Q08","mass/volume",1,"mass/volume",1
"169","4546","Q08","mass/volume",1,"mass/volume",1
"170","4535","Q08","mass/volume",1,"mass/volume",1
"171","4540","Q08","mass X volume",0,"mass/volume",1
"172","4549","Q08","volume/mass",0,"mass/volume",1
"173","4568","Q08","mass/volume",1,"mass/volume",1
"174","4543","Q08","mass/volume",1,"mass/volume",1
"175","4574","Q08","mass/volume",1,"mass/volume",1
"176","4559","Q08","mass/volume",1,"mass/volume",1
"177","4531","Q08","volume/mass",0,"mass/volume",1
"178","4545","Q08","mass/volume",1,"mass/volume",1
"179","4533","Q08","mass/volume",1,"mass/volume",1
"180","4374","Q08","mass/volume",1,"mass/volume",1
"181","4314","Q08","mass/volume",1,"mass/volume",1
"182","4305","Q08","mass/volume",1,"mass/volume",1
"183","4281","Q08","mass/volume",1,"mass/volume",1
"184","4316","Q08","mass/volume",1,"mass/volume",1
"185","4372","Q08","mass/volume",1,"volume/mass",0
"186","4310","Q08","volume/mass",0,"mass/volume",1
"187","4371","Q08","mass/volume",1,"volume/mass",0
"188","4295","Q08","mass/volume",1,"mass/volume",1
"189","4602","Q08","mass X volume",0,"mass/volume",1
"190","4626","Q08","mass X volume",0,"mass/volume",1
"191","4589","Q08","mass X volume",0,"mass/volume",1
"192","4586","Q08","mass X volume",0,"mass/volume",1
"193","4627","Q08","mass/volume",1,"mass/volume",1
"194","4608","Q08","mass X volume",0,"mass/volume",1
"195","4599","Q08","mass/volume",1,"mass/volume",1
"196","4610","Q08","volume/mass",0,"volume/mass",0
"197","4609","Q08","mass/volume",1,"mass/volume",1
"198","4607","Q08","mass/volume",1,"mass/volume",1
"199","4578","Q08","mass X volume",0,"mass X volume",0
"200","4617","Q08","volume/mass",0,"mass/volume",1
"201","4585","Q08","mass/volume",1,"mass X volume",0
"202","4616","Q08","mass/volume",1,"mass/volume",1
