"","ID","Question","Response","value"
"1","4217","Q08","mass/volume",1
"2","4216","Q08","mass/volume",1
"3","4232","Q08","mass/volume",1
"4","4233","Q08","mass/volume",1
"5","4230","Q08","volume/mass",0
"6","4420","Q08","mass X volume",0
"7","4234","Q08","volume/mass",0
"8","4219","Q08","mass/volume",1
"9","4229","Q08","mass/volume",1
"10","4236","Q08","mass X volume",0
"11","4227","Q08","mass X volume",0
"12","4228","Q08","mass/volume",1
"13","4226","Q08","volume/mass",0
"14","4254","Q08","mass/volume",1
"15","4267","Q08","mass/volume",1
"16","4255","Q08","mass/volume",1
"17","4261","Q08","mass/volume",1
"18","4246","Q08","mass/volume",1
"19","4251","Q08","mass X volume",0
"20","4241","Q08","mass/volume",1
"21","4247","Q08","mass/volume",1
"22","4256","Q08","mass/volume",1
"23","4253","Q08","mass/volume",1
"24","4263","Q08","mass/volume",1
"25","4244","Q08","mass/volume",1
"26","4252","Q08","volume/mass",0
"27","4257","Q08","mass X volume",0
"28","4264F","Q08","mass/volume",1
"29","4259","Q08","volume/mass",0
"30","4242","Q08","mass/volume",1
"31","4265","Q08","volume/mass",0
"32","4282A","Q08","mass X volume",0
"33","4276","Q08","mass/volume",1
"34","4272","Q08","mass/volume",1
"35","4284","Q08","mass/volume",1
"36","4292F","Q08","mass/volume",1
"37","4280","Q08","volume/mass",0
"38","4294F","Q08","mass/volume",1
"39","4287","Q08","mass/volume",1
"40","4275","Q08","mass/volume",1
"41","4273","Q08","mass/volume",1
"42","4289","Q08","mass/volume",1
"43","4291F","Q08","mass/volume",1
"44","4277","Q08","mass/volume",1
"45","4286","Q08","mass X volume",0
"46","4285","Q08","mass/volume",1
"47","4270","Q08","mass/volume",1
"48","4293F","Q08","mass/volume",1
"49","4243","Q08","mass/volume",1
"50","4271","Q08","mass/volume",1
"51","4264","Q08","mass/volume",1
"52","4268","Q08","mass/volume",1
"53","4258","Q08","mass/volume",1
"54","4249","Q08","mass/volume",1
"55","4240","Q08","mass/volume",1
"56","4260","Q08","mass/volume",1
"57","4269","Q08","mass/volume",1
"58","4248","Q08","mass/volume",1
"59","4290","Q08","mass/volume",1
"60","4283","Q08","mass/volume",1
"61","4288","Q08","mass/volume",1
"62","4321","Q08","mass/volume",1
"63","4300","Q08","mass X volume",0
"64","4304","Q08","volume/mass",0
"65","4303","Q08","mass/volume",1
"66","4312","Q08","volume/mass",0
"67","4322","Q08","mass/volume",1
"68","4313","Q08","mass/volume",1
"69","4315","Q08","mass/volume",1
"70","4319","Q08","mass/volume",1
"71","4318","Q08","mass X volume",0
"72","4296","Q08","mass/volume",1
"73","4308","Q08","mass/volume",1
"74","4036","Q08","volume/mass",0
"75","4307","Q08","mass X volume",0
"76","4301","Q08","mass/volume",1
"77","4294","Q08","mass/volume",1
"78","4309","Q08","mass/volume",1
"79","4302","Q08","mass X volume",0
"80","4278","Q08","volume/mass",0
"81","4291","Q08","volume/mass",0
"82","4282K","Q08","mass/volume",1
"83","4293","Q08","mass/volume",1
"84","4443","Q08","mass/volume",1
"85","4327","Q08","mass/volume",1
"86","4330","Q08","mass/volume",1
"87","4337","Q08","mass/volume",1
"88","4343","Q08","mass/volume",1
"89","4328","Q08","mass/volume",1
"90","4324","Q08","mass/volume",1
"91","4348","Q08","mass/volume",1
"92","4338","Q08","mass/volume",1
"93","4332","Q08","mass/volume",1
"94","4346","Q08","mass/volume",1
"95","4347","Q08","mass/volume",1
"96","4339","Q08","mass/volume",1
"97","4353","Q08","mass/volume",1
"98","4367","Q08","mass/volume",1
"99","4365","Q08","mass/volume",1
"100","4357","Q08","mass/volume",1
"101","4373","Q08","mass/volume",1
"102","4359","Q08","mass/volume",1
"103","4352","Q08","mass/volume",1
"104","4362","Q08","mass/volume",1
